quote,author,book
"Aging, quite simply, is a loss of information.
","David A. Sinclair,
",Lifespan: The Revolutionary Science of Why We Age  and Why We Dont Have To
"There isnt much debate on the downsides of consumption of animal protein. Study after study has demonstrated that heavily animal-based diets are associated with high cardiovascular mortality and cancer risk.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Thanks to an increasingly sedentary lifestyle and the abundance of sugars and carbohydrates on every supermarket shelf around the globe, high blood sugar is causing the premature deaths of 3.8 million people a year.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Because as it turns out, exposing your body to less-than-comfortable temperatures is another very effective way to turn on your longevity genes.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Why would we choose to focus on problems that impact small groups of people if we could address the problem that impacts everyoneespecially if, in doing so, we could significantly impact all those other, smaller problems?
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"I believe that aging is a disease. I believe it is treatable. I believe we can treat it within our lifetimes. And in doing so, I believe, everything we know about human health will be fundamentally changed.
","David A. Sinclair,
",Lifespan: The Revolutionary Science of Why We Age  and Why We Dont Have To
"As a species, we are living much longer than ever. But not much better. Not at all. Over the past century we have gained additional years, but not additional lifenot life worth living anyway.5
","David A. Sinclair,
",Lifespan: The Revolutionary Science of Why We Age  and Why We Dont Have To
"In my mind, there are few sins so egregious as extending life without health. This is important. It does not matter if we can extend lifespans if we cannot extend healthspans to an equal extent. And so if were going to do the former, we have an absolute moral obligation to do the latter.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"The first principle is that you must not fool yourselfand you are the easiest person to fool. R. P. Feynman,
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Youth  broken DNA  genome instability  disruption of DNA packaging and gene regulation (the epigenome)  loss of cell identity  cellular senescence  disease  death.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"a few years ago, researchers noticed a curious phenomenon: people taking metformin were living notably healthier livesindependent, it seemed, of its effect on diabetes.16 In
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Royal Society of London for Improving Natural Knowledge. More simply known as the Royal Society, the worlds oldest national scientific organization was established in 1660 to promote and disseminate new science by big thinkers of the day such as Sir Francis Bacon, the Enlightenments promulgator of the prolongation of life.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Your generation, just like all the ones that came before, didnt do anything about the destruction that is being done to this planet, Alex told me that evening. And now you want to help people live longer? So they can do even more damage to the world?","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Wed die quite quickly without amino acids, the organic compounds that serve as the building blocks for every protein in the human body. Without themand in particular the nine essential amino acids that our bodies cannot make on their ownour cells cant assemble the life-giving enzymes needed for life.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Indeed, we know more about the health of our cars than we know about our own health. Thats farcical. And its about to change.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"As cloning beautifully proves, our cells retain their youthful digital information even when we are old. To become young again, we just need to find some polish to remove the scratches.
","David A. Sinclair,
",Lifespan: The Revolutionary Science of Why We Age  and Why We Dont Have To
"The longevity genes I work on are called sirtuins, named after the yeast SIR2 gene, the first one to be discovered. There are seven sirtuins in mammals, SIRT1 to SIRT7, and they are made by almost every cell in the body. When I started my research, sirtuins were barely on the scientific radar. Now this family of genes is at the forefront of medical research and drug development. Descended from gene B in M. superstes, sirtuins are enzymes that remove acetyl tags from histones and other proteins and, by doing so, change the packaging of the DNA, turning genes off and on when needed. These critical epigenetic regulators sit at the very top of cellular control systems, controlling our reproduction and our DNA repair. After a few billion years of advancement since the days of yeast, they have evolved to control our health, our fitness, and our very survival. They have also evolved to require a molecule called nicotinamide adenine dinucleotide, or NAD. As we will see later, the loss of NAD as we age, and the resulting decline in sirtuin activity, is thought to be a primary reason our bodies develop diseases when we are old but not when we are young.
","David   Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Separating aging from disease obfuscates a truth about how we reach the ends of our lives: though its certainly important to know why someone fell from a cliff, its equally important to know what brought that person to the precipice in the first place. Aging brings us to the precipice. Give any of us 100 years or so, and it brings us all there. In
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"And it is home to what is arguably the most prestigious national scientific association in the world, the Royal Society. Founded in the 1600s during the Age of Enlightenment and formerly headed by Australias catalyst, the botanist Sir Joseph Banks, as well as such legendary minds as Sir Isaac Newton and Thomas Henry Huxley, the societys cheeky motto is a pretty good one to live by: Nullius in Verba, it says underneath the societys coat of arms. Thats Latin for Take nobodys word for it.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"the evidence is irrefutable: if you believe climate change is a threat, you cant say that GMOs are, because the evidence that GMOs are safe is stronger than the evidence that climate change is occurring.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"We cant prevent all DNA damageand we wouldnt want to because its essential for the function of the immune system and even for consolidating our memories57but we do want to prevent extra damage. And theres a lot of extra damage to be had out there. Cigarettes, for starters. There arent many legal vices out there that are worse for your epigenome than the deadly concoction of thousands of chemicals smokers put into their bodies every day. Theres a reason why smokers seem to age faster: they do age faster. The DNA damage that results from smoking keeps the DNA repair crews working overtime, and likely the result is the epigenetic instability that causes aging. And although Im not likely to be the first person youll hear this from, it nonetheless bears repeating: smoking is not a private, victimless activity. The levels of DNA-damaging aromatic amines in cigarette smoke are about fifty to sixty times as high in secondhand as in firsthand smoke.58 If you do smoke, it is worth trying to quit.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Like rapamycin, metformin mimics aspects of calorie restriction. But instead of inhibiting TOR, it limits the metabolic reactions in mitochondria, slowing down the process by which our cellular powerhouses convert macronutrients into energy.20 The result is the activation of AMPK, an enzyme known for its ability to respond to low energy levels and restore the function of mitochondria. It also activates SIRT1, one of my labs favorite proteins. Among other beneficial effects, metformin inhibits cancer cell metabolism, increases mitochondrial activity, and removes misfolded proteins.21
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Today, I can read an entire human genome of 25,000 genes in a few days for less than a hundred dollars on a candy barsized DNA sequencer called a MinION that I plug into my laptop. And thats for a fairly complete readout of a human genome, plus the DNA methyl marks that tell you your biological age.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Thats what people have been doing for centurieswithout even knowing itin centenarian-heavy places such as Okinawa, Japan; Nicoya, Costa Rica; and Sardinia, Italy. These are, you might recognize, some of the places the writer Dan Buettner introduced to the world as so-called Blue Zones starting in the mid-2000s. Since that time, the primary focus for those seeking to apply lessons from these and other longevity hot spots has been on what Blue Zone residents eat. Ultimately this resulted in the distillation of longevity diets that are based on the commonalities in the foods eaten in places where there are lots of centenarians. And overwhelmingly that advice comes down to eating more vegetables, legumes, and whole grains, while consuming less meat, dairy products, and sugar.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Hoelzel made it to 74, despite having subjected himself over the years to experiments that included swallowing gravel, glass beads, and ball bearings to study how long it would take for such objects to pass through his system. And people say Im crazy.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"And thats the worlds biggest problem: the future is seen as someone elses concern.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"This might be the least considered societal advantage of prolonged vitality, and it might just be the greatest advantage of all. Perhaps when were not all so afraid of the ticking clock, well slow down, well take a breath, well be stoic Samaritans.","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Every aspect of job performance gets better as we age, Peter Cappelli, the director of the Wharton Center for Human Resources, reported after he began to investigate the stereotypes that often surround older workers. I thought the picture might be more mixed, but it isnt. The juxtaposition between the superior performance of older workers and the discrimination against them in the workplace just really makes no sense.
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Bill Gates made a convincing argument for why improving human health is money well spent, and wont lead to overpopulation, in his 2018 video Does Saving More Lives Lead to Overpopulation?56 The short answer is: No.","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
"Over fifty years, Goldman estimated, the potential economic benefits of delayed aging would add up to more than $7 trillion in the United States alone. And thats a conservative estimate, based on modest improvements in the percentages of older people living without a disease or disability. Whatever the dollar figure, though, the benefits would accrue rapidly, Goldmans team wrote, and would extend to all future generations,
","David A. Sinclair,
",Lifespan: Why We Ageand Why We Don't Have To
