quote,author,book
"Your test scores are inferior, therefore youre inferior, and the result is yet one more economic dropout. Instead, tell a youngster there are many ways to win. Tell him that creativity and even common sense, social skills, and integrity count in the economic arena. If we convey that message, we will have many more people becoming productive citizens.
","Thomas J. Stanley,
",The Millionaire Mind
"The foundation stones of financial success are: Integritybeing honest with all people Disciplineapplying self control Social skillsgetting along with people A supportive spouse Hard workmore than most people
","Thomas J. Stanley,
",The Millionaire Mind
"The majority either ignore their critics or use criticism as an inspiration to succeed.
","Thomas J. Stanley,
",The Millionaire Mind
"But critics are a necessary part of our social system in Americathey screen out those who lack the courage and resolve to take criticisms and triumph in spite of them.
","Thomas J. Stanley,
",The Millionaire Mind
"Luck and risk taking go hand in hand.
","Thomas J. Stanley,
",The Millionaire Mind
"most millionaires generally dont limit themselves to stocks, bonds, and related investmentsthey invest heavily in private businesses and real estate.
","Thomas J. Stanley,
",The Millionaire Mind
"Most millionaires, for example, are not intellectually gifted in an analytical sense. They did not receive all As in school, nor were they in the 1400-and-above SAT club. Thats why they decided not to compete in macho dogfight environments where superior analytical intelligence is a requirement to succeed.
","Thomas J. Stanley,
",The Millionaire Mind
"Me, me, me is dull, dull, dull.
","Thomas J. Stanley,
",The Millionaire Mind
"What are the odds that people will make smart decisions about money if they don't need to make smart decisions--if they can get rich making dumb decisions? The incentives on Wall Street were all wrong; they're still all wrong.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"The CDO was, in effect, a credit laundering service for the residents of Lower Middle Class America. For Wall Street it was a machine that turned lead into gold.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"In Bakersfield, California, a Mexican strawberry picker with an income of $14,000 and no English was lent every penny he needed to buy a house for $724,000.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Success was individual achievement; failure was a social problem.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"A thought crossed his mind: How do you make poor people feel wealthy when wages are stagnant? You give them cheap loans.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"That was the problem with money: What people did with it had consequences, but they were so remote from the original action that the mind never connected the one with the other.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"When youre a conservative Republican, you never think people are making money by ripping other people off, he said. His mind was now fully open to the possibility. I now realized there was an entire industry, called consumer finance, that basically existed to rip people off.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"A Home without Equity Is Just a Rental with Debt,
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"The upper classes of this country raped this country. You fucked people. You built a castle to rip people off. Not once in all these years have I come across a person inside a big Wall Street firm who was having a crisis of conscience. Nobody
","Michael Lewis,
",The Big Short
"What are the odds that people will make smart decisions about money if they dont need to make smart decisionsif they can get rich making dumb decisions?
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"A credit default swap was confusing mainly because it wasnt really a swap at all. It was an insurance policy, typically on a corporate bond, with semiannual premium payments and a fixed term. For instance, you might pay $200,000 a year to buy a ten-year credit default swap on $100 million in General Electric bonds. The most you could lose was $2 million: $200,000 a year for ten years. The most you could make was $100 million, if General Electric defaulted on its debt any time in the next ten years and bondholders recovered nothing. It was a zero-sum bet: If you made $100 million, the guy who had sold you the credit default swap lost $100 million. It was also an asymmetric bet, like laying down money on a number in roulette. The most you could lose were the chips you put on the table; but if your number came up you made thirty, forty, even fifty times your money.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Wall Street investment banks are like Las Vegas casinos: They set the odds. The customer who plays zero-sum games against them may win from time to time but never systematically, and never so spectacularly that he bankrupts the casino.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Charlie and Jamie had always sort of assumed that there was some grown-up in charge of the financial system whom they had never met; now, they saw there was not.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Charlie Ledleycuriously uncertain Charlie Ledleywas odd in his belief that the best way to make money on Wall Street was to seek out whatever it was that Wall Street believed was least likely to happen, and bet on its happening.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"If you wanted to predict how people would behave, Munger said, you only had to look at their incentives. FedEx couldnt get its night shift to finish on time; they tried everything to speed it up but nothing workeduntil they stopped paying night shift workers by the hour and started to pay them by the shift. Xerox created a new, better machine only to have it sell less well than the inferior older onesuntil they figured out the salesmen got a bigger commission for selling the older one. Well, you can say, Everybody knows that,  said Munger. I think Ive been in the top five percent of my age cohort all my life in understanding the power of incentives, and all my life Ive underestimated it. And never a year passes but I get some surprise that pushes my limit a little
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"That was the reason the casino bothered to list the wheels most recent spins: to help gamblers to delude themselves.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Complicated financial stuff was being dreamed up for the sole purpose of lending money to people who could never repay it.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"One of the reasons Wall Street had cooked up this new industry called structured finance was that its old-fashioned business was every day less profitable. The profits in stockbroking, along with those in the more conventional sorts of bond broking, had been squashed by Internet competition.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"The line between gambling and investing is artificial and thin. The soundest investment has the defining trait of a bet (you losing all of your money in hopes of making a bit more), and the wildest speculation has the salient characteristic of an investment (you might get your money back with interest). Maybe the best definition of investing is gambling with the odds in your favor.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"They had stumbled either upon a serious flaw in modern financial markets or into a great gambling run. Characteristically, they were not sure which it was. As Charlie pointed out, Its really hard to know when youre lucky and when youre smart.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"I really do believe the final act in play is a crisis in our financial institutions, which are doing such dumb, dumb things,
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Pope Benedict XVI was the first to predict the crisis in the global financial systemItalian Finance Minister Giulio Tremonti said. The prediction that an undisciplined economy would collapse by its own rules can be found in an article written by Cardinal Joseph Ratzinger [in 1985], Tremonti said yesterday at Milans Cattolica University. Bloomberg News, November 20, 2008
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"The source of his unhappiness was, as usual, other people.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"He gave a talk in which he argued that the way they measured risk was completely idiotic. They measured risk by volatility: how much a stock or bond happened to have jumped around in the past few years. Real risk was not volatility; real risk was stupid investment decisions.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"When banking stops, credit stops, and when credit stops, trade stops, and when trade stopswell, the city of Chicago had only eight days of chlorine on hand for its water supply. Hospitals ran out of medicine. The entire modern world was premised on the ability to buy now and pay later.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Because the lenders sold manythough not allof the loans they made to other investors, in the form of mortgage bonds, the industry was also fraught with moral hazard. It was a fast-buck business, says Jacobs. Any business where you can sell a product and make money without having to worry how the product performs is going to attract sleazy people.
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"The consumer loan piles that Wall Street firms, led by Goldman Sachs, asked AIG FP to insure went from being 2 percent subprime mortgages to being 95 percent subprime mortgages. In a matter of months, AIG FP, in effect, bought $50 billion in triple-B-rated subprime mortgage bonds by insuring them against default.
","Michael Lewis,
",The Big Short
"With stagnant wages and booming consumption, the cash-strapped American masses had a virtually unlimited demand for loans but an uncertain ability to repay them.
","Michael Lewis,
",The Big Short
"How do you explain to an innocent citizen of the free world the importance of a credit default swap on a double-A tranche of a subprime-backed collateralized debt obligation?
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Eisman was quick to see narratives, he explained the world in stories, and this was one of the stories he used to explain himself. The
","Michael Lewis,
",The Big Short: Inside the Doomsday Machine
"Advice is one thing that is freely given away, but watch that you only take what is worth having.
","George Clason,
",The Richest Man in Babylon
"Our acts can be no wiser than our thoughts.
","George Clason,
",The Richest Man in Babylon
"It costs nothing to ask wise advice from a good friend.
","George Clason,
",The Richest Man in Babylon
"If you desire to help thy friend, do so in a way that will not bring thy friend's burdens upon thyself.
","George S. Clason,
",The Richest Man in Babylon
"Learning was of two kinds: the one being the things we learned and knew, and the other being the training that taught us how to find out what we did not know?
","George Clason,
",The Richest Man in Babylon
"Will power is but the unflinching purpose to carry the task you set for yourself to fulfillment.
","George Clason,
",The Richest Man in Babylon
"The hungrier one becomes, the clearer one's mind works also the more sensitive one becomes to the odors of food.
","George S. Clason,
",The Richest Man in Babylon
"The reason why we have never found measure of wealth. We never sought it.
","George Clason,
",The Richest Man in Babylon
"The sun that shines today is the sun that shone when thy father was born, and","George S. Clason,
",The Richest Man in Babylon
"As for time, all men have it in abundance.
","George Clason,
",The Richest Man in Babylon
"Where the determination is, the way can be found.
","George S. Clason,
",The Richest Man in Babylon
"A part of all I earn is mine to keep.' Say it in the morning when you first arise. Say it at noon. Say it at night. Say it each hour of every day. Say it to yourself until the words stand out like letters of fire across the sky.
","George S. Clason,
",The Richest Man in Babylon
"In those things toward which we exerted our best endeavors we succeeded.
","George Clason,
",The Richest Man in Babylon
"Proper preparation is the key to our success. Our acts can be no wiser than our thoughts. Our thinking can be no wiser than our understanding.
","George S. Clason,
",The Richest Man in Babylon
"A PART OF ALL YOU EARN IS YOURS TO KEEP.
","George S. Clason,
",The Richest Man in Babylon
